A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,1 Kings 6:1; 2 Chronicles 3:2,Solomon's Temple Begins,"The reference to the “second month” in I Kings 6:1, of the fourth year of Solomon’s reign, refers to the second month from the start of his reign in the first Hebrew month of Nisan. The third month of Sivan would fall two months later. The second month of the year would be the month of Iyar which is often mistakenly given as the month of this event in commentaries and Study Bibles. This exact date of Sivan 2, given in the text of Scripture, is a very important Anchor date and year which can be used to calculate many Biblical dates during the Exodus and numerous events related to the Kings and Prophets of Israel.",DIS,214,3149,1146453,Sunday,May,18,Sivan,2,965,BC,Sunday,September,8,Elul,22,962,BC,N,323,1370311.75,2,158,265.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,I Kings 6:37,The Foundation of the Temple is Completed,The Foundation of the Temple was completed in the fourth year of the building of the Temple in the month of Sivan. The day of the month is estimated.,EDIS,214,3153,1147909,Sunday,May,18,Sivan,2,961,BC,Sunday,September,3,Elul,17,958,BC,N,318,1371767.75,4,0,266.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,1 Kings 6:38,Temple Completed in Seven and a Half Years,The month of Bul is the eighth month of Heshvan. The Temple is completed during this month in the eleventh year of Solomon's reign. The day of the month is estimated.,EDIS,34,3157,1149185,Tuesday,November,19,Heshvan,30,958,BC,Tuesday,March,2,Adar,10,954,BC,N,133,1373043.75,3,184,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,1 Kings 7:1-51; 2 Chronicles 5:1,Solomon Completes Furnishing the Temple,From the time the Temple building was completed until the Temple was furnished was about ten months.,EDIS,326,3157,1149477,Sunday,September,8,Elul,25,957,BC,Sunday,December,19,Kislev,27,954,BC,N,61,1373335.75,0,292,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,1 Kings 8:1-2; 2 Chronicles 5:2-3,Solomon Gathers Elders of Israel to Return the Ark,,EDIS,338,3157,1149489,Friday,September,20,Tishri,8,957,BC,Friday,December,31,Tevet,9,954,BC,N,73,1373347.75,0,12,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,1 Kings 8:1-2; 2 Chronicles 5:2-3,Seven Day Feast Begins the Temple Dedication,Solomon gathers the leaders of Israel together one week before the start of the Feast of Tabernacles to dedicate the Temple.,EDIS,338,3157,1149489,Friday,September,20,Tishri,8,957,BC,Friday,December,31,Tevet,9,954,BC,N,73,1373347.75,0,0,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,Leviticus 23:27,Day of Atonement,"The tenth day of the seventh month of Tishri is specifically designated in Scripture as the Day of Atonement. This day always falls on Sunday, September 22 - Tishri 10 in the text of the Old Testament. On the currently used lunar-solar Hebrew secular calendar, the Tishri 10-Day of Atonement never falls on a Sunday. The Day of Atonement occurs five days before the start of the Feast of Tabernacles on Tishri 15.",EDIS,340,3157,1149491,Sunday,September,22,Tishri,10,957,BC,Sunday,January,2,Tevet,11,953,BC,L,75,1373349.75,0,2,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,1 Kings 8:1-9; 2 Chronicles 5:1-10,Solomon Has the Ark Brought Into the Temple,,EDIS,344,3157,1149495,Thursday,September,26,Tishri,14,957,BC,Thursday,January,6,Tevet,15,953,BC,L,79,1373353.75,0,4,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,1 Kings 8:10-13; 2 Chronicles 5:11-14,Glory of the Lord Fills the House of the Lord,,EDIS,344,3157,1149495,Thursday,September,26,Tishri,14,957,BC,Thursday,January,6,Tevet,15,953,BC,L,79,1373353.75,0,0,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,1 Kings 8:14-21; 2 Chronicles 6:1-11,Solomon Addresses Assembly at Completion of Temple,,EDIS,344,3157,1149495,Thursday,September,26,Tishri,14,957,BC,Thursday,January,6,Tevet,15,953,BC,L,79,1373353.75,0,0,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,1 Kings 8:22-53; 2 Chronicles 6:12-42,Solomon's Prayer of Dedication at the Altar,,EDIS,344,3157,1149495,Thursday,September,26,Tishri,14,957,BC,Thursday,January,6,Tevet,15,953,BC,L,79,1373353.75,0,0,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,1 Kings 8:54-61,Solomon Blesses the Assembly,,EDIS,344,3157,1149495,Thursday,September,26,Tishri,14,957,BC,Thursday,January,6,Tevet,15,953,BC,L,79,1373353.75,0,0,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,1 Kings 8:62-66; 2 Chronicles 7:1-9,Solomon Dedicates Temple-Burnt Offering Consumed,"The month of Ethanim is the seventh month of Tishri. The fifteenth of Tishri starts the Feast of Tabernacles (Booths), according to Leviticus 23:33-44. The tenth of Tishri is the Day of Atonement and always falls on a Sunday, according to Leviticus 23:27.",EDIS,344,3157,1149495,Thursday,September,26,Tishri,14,957,BC,Thursday,January,6,Tevet,15,953,BC,L,79,1373353.75,0,0,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,"Leviticus 23:34-35; Deuteronomy 16:13-17; 2 Chronicles 7:9, Numbers 29:12-15",Feast of Tabernacles Begins,"On this day, Solomon brings the Ark into the completed Temple and has a dedication ceremony. Four-hundred and thirty years and eighty-six days from this event would be the start of the battle for Jerusalem, according to 2 Kings 25:1 and Ezekiel 24:1. The start date for the battle of Jerusalem is Sunday, December 29 - Tevet 10 in 527 BC. This is the dated event, regarding Ezekiel lying on his side for 430 days, from which the 430 years is measured. See Chapter on “Type of Dated Event in Scripture Explained” for an explanation of a Feast Date and other types of days identified as dated events in Scripture. ",Feast Date,345,3157,1149496,Friday,September,27,Tishri,15,957,BC,Friday,January,7,Tevet,16,953,BC,L,80,1373354.75,0,1,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Leviticus 23:34-35; Deuteronomy 16:13-17; 2 Chronicles 7:9,End of Seven Days of Feast of Tabernacles,,Feast Date,351,3157,1149502,Thursday,October ,3,Tishri,21,957,BC,Thursday,January,13,Tevet,22,953,BC,L,86,1373360.75,0,6,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Leviticus 23:36; Numbers 29:35,Eighth Day of Feast of Tabernacles,,Feast Date,352,3157,1149503,Friday,October ,4,Tishri,22,957,BC,Friday,January,14,Tevet,23,953,BC,L,87,1373361.75,0,1,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,2 Chronicles 7:10-11,Solomon Extends Feast Seven Days on 23rd Day of the Month,"Solomon adds another seven days to the Feast of Tabernacles (Booths) to celebrate the dedication of the completed Temple that now housed the Ark. The extended Feast of Tabernacles would end on Friday, Tishri 29 in 957 BC.",DIS,353,3157,1149504,Saturday,October ,5,Tishri,23,957,BC,Saturday,January,15,Tevet,24,953,BC,L,88,1373362.75,0,1,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,2 Chronicles 7:10-11,End of Extended Feast of Tabernacles,,EDIS,359,3157,1149510,Friday,October,11,Tishri,29,957,BC,Friday,January,21,Shevat,1,953,BC,L,94,1373368.75,0,6,267.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,1 Kings 9:1-9; 2 Chronicles 7:12-22,God Appears to Solomon a Second Time,,EST,26,3158,1149541,Monday,November,11,Heshvan,22,957,BC,Monday,February,21,Adar,2,953,BC,L,125,1373399.75,0,31,267.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,"1 Kings 7:1, 9:10",Solomon Finishes His House in Twentieth Year,"Twenty years after the start of his reign, Solomon finishes his personal home after working on it for thirteen years. CD#269 is the DFC and EDFC date for events happening between 951 BC and 947 BC.",DFC,269,3165,1152332,Saturday,July,12,Tammuz,27,949,BC,Saturday,October,13,Tishri,28,946,BC,N,358,1376190.75,7,243,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,1 Kings 9:10-28; 2 Chronicles 8:1-18,Achievements After 20 Plus Years of Solomon's Reign,Solomon gives 20 cities to King Hiram of Tyre. Solomon raises a labor force from among the Canaanite residents and rebuilds cities to resettle many Israelites. CD#270 is the DFC and EDFC date for events happening between 946 BC and 942 BC.,EDFC,270,3169,1153789,Sunday,July,13,Tammuz,28,945,BC,Sunday,October,9,Tishri,24,942,BC,N,354,1377647.75,4,1,269.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,1 Kings 10:1-13; 2 Chronicles 9:1-13,Queen of Sheba Visits Solomon,CD#271 is the DFC and EDFC date for events happening between 941 BC and 937 BC.,EDFC,271,3173,1155246,Monday,July,14,Tammuz,29,941,BC,Monday,October,5,Tishri,20,938,BC,N,350,1379104.75,4,1,270.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,1 Kings 10:14-29; 2 Chronicles 9:13-28,Solomon Gathers Great Wealth,"Solomon was clearly the richest King in history. Just the gold that he acquired weighed about 25 tons. According to 1 Kings 10:21, there was so much gold that silver had become almost worthless. CD#272 is the DFC and EDFC date for events happening between 936 BC and 932 BC.",EDFC,272,3179,1157431,Tuesday,July,15,Av,1,935,BC,Tuesday,September,28,Tishri,13,932,BC,N,343,1381289.75,6,1,271.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,1 Kings 11:41-43; 2 Chronicles 9:29-31,Reign of King Solomon Ends,"Solomon reigns for forty years. The end of Solomon’s reign is calculated to be the same day as the ascension of Jesus in 30 AD. The month and day of the end of Solomon’s reign is an estimate that is probably within one month of the actual date. There has been a rumor floating around, in the field of Bible chronology, that the end of Solomon’s reign and the day Noah takes the covering off the Ark, are events that happen on a “Friday the 13th ” on a non-Hebrew calendar. This rumor is consistent with the 364-Day calendar of this research and is mentioned only as a point of interest. See “Type of Dated Event in Scripture Explained” for an explanation of MDFC, EDFC, and other types of days identified as dated events in Scripture. Modified dates with a number (MDFC-33) are most commonly found in dating the reigns of Israel’s Kings. King Solomon reigns for 40 years and 66 days.",EST,240,3185,1159583,Friday,June,13,Sivan,28,929,BC,Friday,August,20,Elul,3,926,BC,N,304,1383441.75,5,332,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,1 Kings 12:1-17; 2 Chronicles 10:1-17,Reign of King Rehoboam (South) Begins,,EST,240,3185,1159583,Friday,June,13,Sivan,28,929,BC,Friday,August,20,Elul,3,926,BC,N,304,1383441.75,0,0,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,1 Kings 14:21,Rehoboam Becomes King at 41 Years Old,It is estimated that Rehoboam would reign for 17 years and 219 days.,EST,240,3185,1159583,Friday,June,13,Sivan,28,929,BC,Friday,August,20,Elul,3,926,BC,N,304,1383441.75,0,0,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,1 Kings 12:2; 2 Chronicles 10:2,Northern Israel Calls Jeroboam From Egypt,,EST,247,3185,1159590,Friday,June,20,Tammuz,5,929,BC,Friday,August,27,Elul,10,926,BC,N,311,1383448.75,0,7,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,1 Kings 12:1; 2 Chronicles 10:1,King Rehoboam Crowned King in Shechem,,EST,268,3185,1159611,Friday,July,11,Tammuz,26,929,BC,Friday,September,17,Tishri,2,926,BC,N,332,1383469.75,0,21,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,1 Kings 12:3-5; 2 Chronicles 10:3-5,Northern Israel and Jeroboam Meet Rehoboam at Shechem,"King Rehoboam instructs the leaders of Northern Israel to meet with him in three days. During these three days, Rehoboam listens to the conflicting counsel of his Elders and the young men. The Elders suggested that Rehoboam be a good and gracious ruler over Northern and Southern Israel. The young men advised him to tax the people harder than his father, King David. Jeroboam decides to not follow the advice of the Elders. This action results in a division of Israel which had been predicted by God in 1 Kings 11:9-11.",EST,270,3185,1159613,Sunday,July,13,Tammuz,28,929,BC,Sunday,September,19,Tishri,4,926,BC,N,334,1383471.75,0,2,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,1 Kings 12:6-8; 2 Chronicles 10:6-8,King Rehoboam Rejects Advise of the Elders,,EST,271,3185,1159614,Monday,July,14,Tammuz,29,929,BC,Monday,September,20,Tishri,5,926,BC,N,335,1383472.75,0,1,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,1 Kings 12:8-11; 2 Chronicles 10:8-11,King Rehoboam Accepts Advise of the Young Men,,EST,272,3185,1159615,Tuesday,July,15,Av,1,929,BC,Tuesday,September,21,Tishri,6,926,BC,N,336,1383473.75,0,1,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,1 Kings 12:12-15; 2 Chronicles 10:12-15,"King Rehoboam Tells Israel ""I will chastise you""",Rehoboam’s acceptance of the young men’s advice triggers the separation of rule for Northern and Southern Israel. CD#273 is the DFC and EDFC date for events happening between 931 BC and 927 BC.,DFC,273,3185,1159616,Wednesday,July,16,Av,2,929,BC,Wednesday,September,22,Tishri,7,926,BC,N,337,1383474.75,0,1,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,1 Kings 12:16-17; 2 Chronicles 10:16-17,Northern Israel Rejects Rehoboam's Rule,This separation of the Northern and Southern Kingdoms of Israel fulfills the prophecy of Ahijah found in I Kings 11:26-40. CD#273 is the DFC and EDFC date for events happening between 931 BC and 927 BC.,DFC,273,3185,1159616,Wednesday,July,16,Av,2,929,BC,Wednesday,September,22,Tishri,7,926,BC,N,337,1383474.75,0,0,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,1 Kings 12:18; 2 Chronicles 10:18,Adoram Sent to Israel and Stoned,,EST,275,3185,1159618,Friday,July,18,Av,4,929,BC,Friday,September,24,Tishri,9,926,BC,N,339,1383476.75,0,2,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,1 Kings 12:18-19; 2 Chronicles 10:18-19,King Rehoboam Flees to Jerusalem,"From this day forward, the Northern Kingdom is no longer ruled by the sole rule of the Davidic line of Kings.",EST,275,3185,1159618,Friday,July,18,Av,4,929,BC,Friday,September,24,Tishri,9,926,BC,N,339,1383476.75,0,0,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,1 Kings 12:21-24; 2 Chronicles 11:1-4,Shemaiah Tells Rehoboam: No War With Northern Israel,,EST,287,3185,1159630,Wednesday,July,30,Av,16,929,BC,Wednesday,October,6,Tishri,21,926,BC,N,351,1383488.75,0,12,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,1 Kings 12:20,Reign of King Jeroboam I (North) Begins,,EST,309,3185,1159652,Thursday,August,22,Elul,8,929,BC,Thursday,October,28,Heshvan,5,926,BC,N,9,1383510.75,0,22,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,1 Kings 12:32-33,Jeroboam Ordains Feast on Heshvan 15,,DIS,19,3186,1159726,Monday,November,4,Heshvan ,15,929,BC,Monday,January,10,Tevet,19,925,BC,L,83,1383584.75,0,74,273.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,1 Kings 14:25-26; 2 Chronicles 12:1-2,King Shishak of Egypt Attacks and Loots Jerusalem,This is a very important DFC date in establishing the dated reigns of Israel’s Kings. Verse 25 makes it clear that this event happens in the fifth year of the reign of King Rehoboam. This important DFC date helps calculate events with Israel and foreign Kings. CD#274 is the DFC and EDFC date for events happening between 926 BC and 922 BC.,DFC,274,3190,1161437,Thursday,July,17,Av,3,924,BC,Thursday,September,16,Tishri,3,921,BC,L,333,1385295.75,4,255,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,1 Kings 14:21-31; 2 Chronicles 12:13-16,Reign of King Rehoboam (South) Ends,,MDFC+182,95,3203,1165990,Sunday,January,20,Shevat,2,911,BC,Sunday,March,5,Adar,13,908,BC,N,136,1389848.75,12,185,276.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,1 Kings 15:1; 2 Chronicles 13:1-2,Reign of King Abijah (Abijam) (South) Begins,King Abijah begins his reign 150 days into the 18th non-accession year of the reign of Jeroboam I (North).,MDFC+182,95,3203,1165990,Sunday,January,20,Shevat,2,911,BC,Sunday,March,5,Adar,13,908,BC,N,136,1389848.75,0,0,276.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,"1 Kings 15:1-8; 2 Chronicles 13:1-2, 14:1",Reign of King Abijah (Abijam) (South) Ends,The reign of King Abijah lasts three years plus 213 days.,EST,308,3206,1167295,Wednesday,August,21,Elul,7,908,BC,Wednesday,September,30,Tishri,17,905,BC,L,347,1391153.75,3,213,277.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,1 Kings 15:8-9; 2 Chronicles 14:1,Reign of King Asa (South) Begins,The reign of King Asa begins 20 accession years and 363 days into the reign of King Jeroboam I (North).,EST,308,3206,1167295,Wednesday,August,21,Elul,7,908,BC,Wednesday,September,30,Tishri,17,905,BC,L,347,1391153.75,0,0,277.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,1 Kings 14:1-18,Ahijah Proclaims Judgment on House of Jeroboam,CD#277 is the DFC and EDFC date for events happening between 911 BC and 907 BC.,EDFC,277,3207,1167628,Sunday,July,20,Av,6,907,BC,Sunday,August,29,Elul,12,904,BC,N,313,1391486.75,0,333,277.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,1 Kings 14:19-20,Reign of King Jeroboam I (North) Ends,"It is estimated that King Jeroboam I reigns for exactly twenty-two accession years. His son, Nadab, begins to reign after him.",CALC,309,3207,1167660,Thursday,August,22,Elul,8,907,BC,Thursday,September,30,Tishri,15,904,BC,N,345,1391518.75,0,32,277.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,1 Kings 15:25,Reign of King Nadab (North) Begins,King Nadab (North) begins on the first day of the second non-accession year of King Asa (South).,CALC,309,3207,1167660,Thursday,August,22,Elul,8,907,BC,Thursday,September,30,Tishri,15,904,BC,N,345,1391518.75,0,0,277.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,2 Chronicles 14:9-11,Ethiopian King Zerah Attacks King Asa at Mareshah,CD#278 is the DFC and EDFC date for events happening between 906 BC and 902 BC.,EDFC,278,3208,1167993,Monday,July,21,Av,7,906,BC,Monday,August,29,Elul,12,903,BC,N,313,1391851.75,0,333,277.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,2 Chronicles 14:12-15,"Ethiopian Army Defeated by ""the Lord and His army""",,EST,309,3208,1168024,Thursday,August,22,Elul,8,906,BC,Thursday,September,29,Tishri,14,903,BC,N,344,1391882.75,0,31,277.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,1 Kings 15:27-28,Reign of King Nadab (North) Ends,Nadab reigns 2 years and 1 day until the second day of the third non-accession year of King Asa. King Nadab is overthrown and killed by Baasha at Gibbethon when King Nadab and Northern Israel are in a battle with the Philistines. Scripture states his reign lasts for two years.,MDFC,310,3209,1168389,Friday,August,23,Elul,9,905,BC,Friday,September,29,Tishri,14,902,BC,N,344,1392247.75,1,1,277.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,1 Kings 15:27-33,Reign of King Baasha (North) Begins,It is estimated that Baasha begins his reign of exactly twenty-four years on the second day of the third non-accession year of Southern King Asa. Scripture states that Baasha begins his reign in the third year of King Asa.,MDFC,310,3209,1168389,Friday,August,23,Elul,9,905,BC,Friday,September,29,Tishri,14,902,BC,N,344,1392247.75,0,0,277.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,1 Kings 15:16-17; 2 Chronicles 16:1,Baasha Builds Ramah Barrier to Judah in 36th Year of Asa,The thirty-sixth year of Asa must be measured from the end of Asa’s reign instead of the beginning. CD#278 is the DFC and EDFC date for events happening between 906 BC and 902 BC.,DFC,278,3212,1169449,Monday,July,21,Av,7,902,BC,Monday,August,25,Elul,8,899,BC,N,309,1393307.75,2,332,278.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,1 Kings 15:18-19; 2 Chronicles 16:2-3,Asa Makes Syrian Treaty Against Baasha in 35th Year of Asa,"The thirty-fifth year of Asa must be measured from the end of Asa's reign instead of the beginning. It is clear from the text that the treaty follows the events of the previous year which is the thirty-sixth year of Southern King Asa. In a similar manner of measurement, Southern King Uzziah begins his reign twenty-seven years from the end of the reign of Northern King Jeroboam II according to 2 Kings 15:1-7.",EST,188,3213,1169723,Tuesday,April,22,Iyar ,5,901,BC,Tuesday,May,26,Sivan,6,898,BC,N,218,1393581.75,0,274,278.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,"1 Kings 15:20-21; 2 Chron. 15:18-19, 16:4-6",Syrian King Ben-Hadad Attacks Baasha in the North,The thirty-fifth year of Asa must be measured from the end of Asa’s reign instead of the beginning. CD#279 is the DFC and EDFC date for events happening between 901 BC and 897 BC.,DFC,279,3213,1169814,Tuesday,July,22,Av,8,901,BC,Tuesday,August,25,Elul,8,898,BC,N,309,1393672.75,0,91,278.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,2 Chronicles 16:7-10,Hanani the Seer Imprisoned For Rebuke of King Asa,,EST,97,3214,1169996,Tuesday,January,22,Shevat,4,900,BC,Tuesday,February,23,Adar,4,897,BC,L,127,1393854.75,0,182,278.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,1 Kings 16:1-4,Jehu-Son of Hanani Gives Baasha Judgment Message,"This message of judgment is fulfilled in I Kings 16:11-13 when King Elah, son of King Baasha, is killed by King Zimri who rules for seven days. CD#282 is the DFC and EDFC date for events happening between 886 BC and 882 BC.",EDFC,282,3231,1176369,Friday,July,25,Av,11,883,BC,Friday,August,5,Av ,18,880,BC,N,289,1400227.75,17,185,282.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,1 Kings 16:8,Reign of King Elah (North) Begins,Elah begins on the first day of the 26th year of Asa. Elah reigns 2 years and 1 day ending at the same time as Baasha. This is only one of three short concurrent reigns in the Northern Kingdom of Israel. This overlap is very clear from the dated years given in the text.,MDFC,309,3231,1176396,Thursday,August,22,Elul,8,883,BC,Thursday,September,1,Elul,15,880,BC,N,316,1400254.75,0,27,282.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,1 Kings 15:33-16:8,Reign of King Baasha (North) Ends,"It is estimated that King Baasha reigns exactly 24 years. The last two years of Baasha's reign is one of three short concurrent reigns in Northern Israel with his son, King Elah.",MDFC,310,3233,1177125,Friday,August,23,Elul,9,881,BC,Friday,August,31,Elul,14,878,BC,N,315,1400983.75,2,1,282.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,1 Kings 16:8-10,Reign of King Elah (North) Ends,"It is estimated that Northern King Elah reigns two years plus one day concurrently with his father, King Baasha. Elah's reign ends on the start date of King Zimri's 7-Day reign. Zimri is the commander of King Elah’s chariots and kills the King when the King is getting drunk in the house of Arza in Tirzah. Zimri immediately began to kill all the heirs to the house of King Baasha. Zimri also killed all the friends and relatives of King Baasha and Elah. Scripture is very clear that this is a two year concurrent reign with King Baasha.",MDFC,310,3233,1177125,Friday,August,23,Elul,9,881,BC,Friday,August,31,Elul,14,878,BC,N,315,1400983.75,0,0,282.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,1 Kings 16:9-10,Reign of King Zimri (North) Begins (7 Days),"King Zimri begins his reign on the second day of the 27th year of King Asa (South). Zimri was the commander of half of the chariots of Northern King Elah. When the King is drunk, Zimri murders him and begins a seven day reign and kills all the household of King Baasha, father of Northern King Elah.",MDFC,310,3233,1177125,Friday,August,23,Elul,9,881,BC,Friday,August,31,Elul,14,878,BC,N,315,1400983.75,0,0,282.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,1 Kings 16:15-18,Reign of King Zimri (North) Ends (7 Days),"King Zimri begins his reign on the ninth day of the 27th year of King Asa (South) after murdering King Elah and all the friends and relatives of King Baasha. Omri is appointed commander of Northern Israel’s army and attacks Zimri at Tirzah. When Zimri sees that Tirzah has fallen to Omri, he kills himself by burning down the King’s house while he is in it. At this point in history, Northern Israel is divided in its loyalty to King Omri and King Tibni. Both rule peaceably together in Northern Israel for almost five years. After Tibni’s death, Omni reigns alone in Northern Israel for a total of 12 years.
",MDFC,317,3233,1177132,Friday,August,30,Elul,16,881,BC,Friday,September,7,Elul,21,878,BC,N,322,1400990.75,0,7,282.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,1 Kings 16:21,Reign of King Tibni (North) Begins,King Tibni begins his reign on the ninth day of the 27th year of King Asa (South). Scripture states that King Tibni and King Omri begin their joint reign of the Northern Kingdom of Israel in the 27th year of King Asa (S).,MDFC,317,3233,1177132,Friday,August,30,Elul,16,881,BC,Friday,September,7,Elul,21,878,BC,N,322,1400990.75,0,0,282.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,1 Kings 16:16-22,Reign of King Omri (North) Begins,It is estimated that King Omni begins his reign on the ninth day of the twenty-seventh accession year of King Asa (South). This is a coregency reign with King Tibni (North).,EST,317,3233,1177132,Friday,August,30,Elul,16,881,BC,Friday,September,7,Elul,21,878,BC,N,322,1400990.75,0,0,282.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,2 Chronicles 14:1,"Beginning of Ten Years of ""Quiet"" For King Asa","King Asa began to reign in Southern Israel after the death of his father, King Abijah. His first ten years were quiet and peaceful. CD#283 is the DFC and EDFC date for events happening between 881 BC and 877 BC.",DFC,283,3236,1178190,Saturday,July,26,Av,12,878,BC,Saturday,July,31,Av,13,875,BC,N,284,1402048.75,2,330,283.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
